sample_id,sample_year,site_id,sample_hitch,sample_type,rep,area_cm2,vol_filtered_ml,dry_mass_g,ash_mass_g
afdm_001,2016,LR00,H1,biofilm,1,49,NA,0.0624,0.0401
afdm_003,2016,LR02,H1,biofilm,1,56,NA,0.1128,0.0721
afdm_005,2016,LR03,H1,biofilm,1,40,NA,0.0758,0.0303
afdm_007,2016,LR04,H1,biofilm,1,58,NA,0.1278,0.0767
afdm_009,2016,LR05,H1,biofilm,1,43,NA,0.1588,0.1023
afdm_011,2016,LR06,H1,biofilm,1,83,NA,0.1679,0.1085
afdm_013,2016,LR07,H1,biofilm,1,50,NA,0.0622,0.0041
afdm_015,2016,LR08,H1,biofilm,1,40,NA,0.0588,0.0009
afdm_015,2016,LR08,H1,biofilm,2,54,NA,0.0885,0.0011
afdm_017,2016,MB01,H1,biofilm,1,47,NA,0.1273,0.1009
afdm_019,2016,MB02,H1,biofilm,1,50,NA,0.177,0.142
afdm_021,2016,MB03,H1,biofilm,1,46,NA,0.0739,0.0355
afdm_023,2016,MB04,H1,biofilm,1,40,NA,0.0775,0.0301
afdm_025,2016,SW01,H1,biofilm,1,40,NA,0.0661,0.0427
afdm_027,2016,SW02,H1,biofilm,1,41,NA,0.0918,0.0578
afdm_029,2016,SW03,H1,biofilm,1,51,NA,0.1416,0.1011
afdm_031,2016,SW04,H1,biofilm,1,43,NA,0.1143,0.0622
afdm_033,2016,LR00,H2,biofilm,1,47,NA,0.1365,0.1185
afdm_035,2016,LR02,H2,biofilm,1,45,NA,0.0968,0.0703
afdm_037,2016,LR03,H2,biofilm,1,55,NA,0.0911,0.0592
afdm_039,2016,LR04,H2,biofilm,1,58,NA,0.1022,0.0663
afdm_041,2016,LR05,H2,biofilm,1,46,NA,0.0759,0.0393
afdm_043,2016,LR06,H2,biofilm,1,47,NA,0.1633,0.1159
afdm_045,2016,LR07,H2,biofilm,1,51,NA,0.0633,0.0228
afdm_047,2016,LR08,H2,biofilm,1,45,NA,0.1784,0.1411
