sample_date,sample_year,site_id,crew,temp_c,ph,spec_cond,num_backpacks,effort1_seconds,effort2_seconds,effort3_seconds,voltz,frequency,duty_cycle,effort_min
2015-10-08,2015,LR02,"BM, JD",15.5,8.69,253,1,2198,NA,NA,200,30,12,36.63333333333333
2015-10-08,2015,LR05,"BM, FR",18.9,8.53,641,1,1956,NA,NA,120,60,12,32.6
2015-10-09,2015,LR07,"BM, FR, CP",20.1,8.22,681,1,1609,NA,NA,120,60,12,26.816666666666666
2015-10-19,2015,LR04,"BM, FR",18.6,8.34,530,1,2198,NA,NA,120,60,12,36.63333333333333
2016-08-20,2016,SW03,"BM, TA",19.3,8.13,169,1,1234,NA,NA,270,30,15,20.566666666666666
2016-08-21,2016,SW01,"BM, TA",21.1,8.33,1206,1,953,NA,NA,800,25,15,15.883333333333333
2016-08-21,2016,SW02,"BM, TA",15.8,7.99,71,1,812,NA,NA,485,30,18,13.533333333333333
2016-08-22,2016,SW04,"BM,TA, MK, FR",17.8,8.01,470,1,3320,NA,NA,130,50,12,55.333333333333336
2016-08-24,2016,MB01,"BM, TA",15.8,8.71,35,1,1432,NA,NA,900,25,18,23.866666666666667
2016-08-24,2016,MB02,"BM, TA",16.2,8.46,131,1,2234,NA,NA,400,40,18,37.233333333333334
2016-08-25,2016,MB03,"BM, TA",18.7,8.39,301,1,1258,NA,NA,200,40,20,20.966666666666665
2016-08-25,2016,MB04,"BM, TA",21.1,8.39,1206,1,2836,NA,NA,150,30,18,47.266666666666666
2016-08-26,2016,LR03,"BM, TA",18.9,8.54,341,1,1765,NA,NA,300,40,12,29.416666666666668
2016-08-26,2016,LR04,"BM, TA",20.1,8.65,394,1,2640,NA,NA,300,40,12,44
2016-08-26,2016,LR05,"BM, TA",21.8,8.97,534,1,1683,NA,NA,400,30,12,28.05
2016-08-27,2016,LR00,"BM, TA",11.8,8.51,51,1,1630,NA,NA,500,30,15,27.166666666666668
2016-08-27,2016,LR01,"BM, TA, FR",12.4,8.43,113,1,1269,NA,NA,450,30,15,21.15
2016-08-30,2016,LR06,"BM, TA",20.9,8.48,670,1,2870,NA,NA,150,50,15,47.833333333333336
2016-08-30,2016,LR07,"BM, TA",22.8,8.61,736,1,1920,NA,NA,350,30,15,32
2016-09-01,2016,LR02,"BM, TA, TL",15.8,8.69,279,1,1890,NA,NA,400,30,18,31.5
2016-09-02,2016,LR08,"BM, TA, FR, SH",24.7,8.55,816,1,2892,NA,NA,175,30,15,48.2
2017-04-07,2017a,LR04,"BM, CC, FR",14.2,8.19,410,1,2310,NA,NA,150,30,15,38.5
2017-08-18,2017,LR02,"BM, CC, MK",13.8,8.35,217,1,2403,NA,NA,350,30,12,40.05
