study,sia_sample_id,sample_year,sample_date,sample_hitch,stream_name,site_id,compartment,resource,taxon_code,length_mm,weight_g,sex,d13C,d15N,CN
Maitland,2015_F088,2016,8/28/16,H3,Laramie,LR04,fish,fish,BNT,290,NA,unk,-27.432616,10.5237475,3.731280757
Maitland,2015_F001,2015,10/9/15,H3,Laramie,LR07,fish,fish,CRP,83,NA,unk,-26.5105558,9.818345,3.43233569
Maitland,2015_F002,2015,10/9/15,H3,Laramie,LR07,fish,fish,SMB,68,NA,unk,-25.1762286,9.103261,3.457483609
Maitland,FH3003,2017,8/30/16,H3,Laramie,LR07,fish,fish,CRP,48,NA,NA,-25.1651428,9.115249,3.474046311
Maitland,2015_F003,2015,10/9/15,H3,Laramie,LR07,fish,fish,CKC,66,NA,unk,-25.048238,11.030132,3.45511557
Maitland,2015_F004,2015,10/9/15,H3,Laramie,LR07,fish,fish,CRP,105,NA,unk,-26.1487556,9.027137,3.319019995
Maitland,2015_F005,2015,10/9/15,H3,Laramie,LR07,fish,fish,CKC,133,NA,unk,-24.8953148,11.365796,3.356923836
Maitland,2015_F006,2015,10/9/15,H3,Laramie,LR07,fish,fish,CKC,145,NA,unk,-24.297427,11.765396,3.36558538
Maitland,2015_F007,2016,10/8/15,H3,Laramie,LR02,fish,fish,WHS,179,NA,unk,-26.9872452,7.880284,3.36163297
Maitland,2015_F008,2015,10/9/15,H3,Laramie,LR07,fish,fish,RSH,81,NA,unk,-25.4926778,11.116046,3.609090068
Maitland,2015_F009,2015,10/9/15,H3,Laramie,LR07,fish,fish,CKC,144,NA,unk,-25.0825032,11.011151,3.463930681
Maitland,2015_F010,2015,10/9/15,H3,Laramie,LR07,fish,fish,CRP,111,NA,unk,-27.5999876,9.840323,3.394480672
Maitland,2015_F011,2015,10/9/15,H3,Laramie,LR07,fish,fish,WHS,176,NA,unk,-26.7483966,9.512651,3.297558502
Maitland,2015_F012,2015,10/9/15,H3,Laramie,LR07,fish,fish,WHS,251,NA,unk,-27.3651702,9.290873,3.363925886
Maitland,2015_F013,2015,10/9/15,H3,Laramie,LR07,fish,fish,CKC,179,NA,unk,-24.297427,12.154008,3.291549076
Maitland,2015_F016,2015,10/9/15,H3,Laramie,LR07,fish,fish,STR,93,NA,unk,-27.3561,9.296867,3.573030132
Maitland,2015_F017,2015,10/9/15,H3,Laramie,LR07,fish,fish,STR,150,NA,unk,-26.2747306,9.176987,3.273984751
Maitland,2015_F018,2017,10/9/17,H3,Laramie,LR07,fish,fish,STR,97,NA,unk,-28.8915042,10.344818,3.493561975
Maitland,2015_F019,2017,10/9/17,H3,Laramie,LR07,fish,fish,STR,143,NA,unk,-28.6788584,9.540623,3.329982554
Maitland,2015_F020,2017,10/9/17,H3,Laramie,LR07,fish,fish,STR,119,NA,unk,-28.3389674,9.328835,3.451806812
Maitland,FH3004,2017,8/30/16,H3,Laramie,LR07,fish,fish,CRP,58,NA,NA,-27.3248582,9.284879,3.447804281
