common_name,phylum,subphylum,class,order,family,phyclassorder,taxon_code,ffg,ffg_shd,ffg_grz,ffg_col,ffg_prd,feed_omn,feed_ply,habitat_dfd,habitat_rhp
,,,,,,,Seiomyzidae,predator,,,,3,,,,
leech,Annelida,NA,Clitellata,Hirudinea,Glossiphoniidae,Annelida,Hirudinea,predator,,,,3,,,1,
earthworms,Annelida,NA,Clitellata,Oligochaeta,NA,Annelida,Oligochaeta,collector,,,3,,,,3,
water mite,Arthropoda,NA,Arachnida,Trombidiformes,Hydrachnidia,Arachnida,Hydracarina,predator,,,,3,,,,2
long-toed water beetles,Arthropoda,NA,Insecta,Coleoptera,Dryopidae,Coleoptera,Dryopidae,grazer,,3,1,,,1,2,
predaceous diving beetles,Arthropoda,NA,Insecta,Coleoptera,Dytiscidae,Coleoptera,Dytiscidae,predator,,,,3,,,,
riffle beetle adult,Arthropoda,NA,Insecta,Coleoptera,Elmidae,Coleoptera,Elmidae-adult,grazer,,2,1,,,1,,3
riffle beetle,Arthropoda,NA,Insecta,Coleoptera,Elmidae,Coleoptera,Elmidae-larvae,grazer,,2,1,,,1,,3
whirligig beetle,Arthropoda,NA,Insecta,Coleoptera,Gyrinidae,Coleoptera,Gyrinidae,predator,,,,3,,,,
water scavenger beetle,Arthropoda,NA,Insecta,Coleoptera,Hydrophilidae,Coleoptera,Hydrophilidae,predator,,,1,2,1,,3,
water snipe flies,Arthropoda,NA,Insecta,Diptera,Athericidae,Diptera,Athericidae,predator,,,,3,,,,
no-see-ums,Arthropoda,NA,Insecta,Diptera,Ceratopogonidae,Diptera,Ceratopogonidae,predator,,,,3,,,3,
non-biting midges,Arthropoda,NA,Insecta,Diptera,Chironomidae,Diptera,Chironomidae,collector,,,3,,,,3,
dance flies,Arthropoda,NA,Insecta,Diptera,Empididae,Diptera,Empididae,collector,,1,2,,,1,,
moth flies,Arthropoda,NA,Insecta,Diptera,Psychodidae,Diptera,Psychodidae,collector,,,3,,,,3,
marsh flies,Arthropoda,NA,Insecta,Diptera,Seiomyzidae,Diptera,Sciomyzidae,predator,,,,3,,,,
black fly,Arthropoda,NA,Insecta,Diptera,Simulidae,Diptera,Simulidae,filterer,,,3,,,,,
crane flies,Arthropoda,NA,Insecta,Diptera,Tipulidae,Diptera,Tipulidae,shredder,3,,2,,,1,,
combmouthed minnow mayfly,Arthropoda,NA,Insecta,Ephermeroptera,Ameletidae,Ephermeroptera,Ameletidae,collector,,,2,,,,,
small minnow mayflies,Arthropoda,NA,Insecta,Ephermeroptera,Baetidae,Ephermeroptera,Baetidae,grazer,,2,1,,,,,
armored mayflies,Arthropoda,NA,Insecta,Ephermeroptera,Baetiscidae,Ephermeroptera,Baetiscidae,collector,,1,2,,,,,
small square-gill mayflies,Arthropoda,NA,Insecta,Ephermeroptera,Caenidae,Ephermeroptera,Caenidae,collector,,1,2,,,,,
spiny crawler mayflies,Arthropoda,NA,Insecta,Ephermeroptera,Ephemerellidae,Ephermeroptera,Ephemerellidae,grazer,,2,1,,,,,
common burrower mayflies,Arthropoda,NA,Insecta,Ephermeroptera,Ephemeridae,Ephermeroptera,Ephemeridae,collector,,1,2,,,,,
flat headed mayflies,Arthropoda,NA,Insecta,Ephermeroptera,Heptaganeidae,Ephermeroptera,Heptaganeidae,grazer,,2,1,,,,,
brushlegged mayflies,Arthropoda,NA,Insecta,Ephermeroptera,Isonychiidae,Ephermeroptera,Isonychiidae,filterer,,1,2,,,,,
little stout crawler mayflies,Arthropoda,NA,Insecta,Ephermeroptera,Leptohyphidae,Ephermeroptera,Leptohyphidae,collector,,1,2,,,,,
prong-gilled mayflies,Arthropoda,NA,Insecta,Ephermeroptera,Leptophlebiidae,Ephermeroptera,Leptophlebiidae,collector,,2,1,,,1,2,
brushleg mayflies,Arthropoda,NA,Insecta,Ephermeroptera,Oligoneuriidae,Ephermeroptera,Oligoneuriidae,filterer,,1,2,,,,,
pale burrower mayfly,Arthropoda,NA,Insecta,Ephermeroptera,Polymitaryidae,Ephermeroptera,Polymitaryidae,collector,,1,2,,,,,
hackle-gilled mayflies,Arthropoda,NA,Insecta,Ephermeroptera,Potamanthidae,Ephermeroptera,Potamanthidae,collector,,1,2,,,,,
primitive minnow mayflies,Arthropoda,NA,Insecta,Ephermeroptera,Siphlonuridae,Ephermeroptera,Siphlonuridae,collector,,1,2,,,,,
giant water bug,Arthropoda,NA,Insecta,Hemiptera,Belostomatidae,Hemiptera,Belostomatidae,predator,,,,3,,,,
