FFG,Species,Occupancy
collector,Ameletidae,8
collector,Asellidae,4
collector,Baetiscidae,1
collector,Brachycentridae,9
collector,Caenidae,5
collector,Capniidae,1
collector,Chironomidae,16
collector,Empididae,1
collector,Ephemeridae,12
collector,Gammaride,10
collector,Hydroptilidae,6
collector,Lepidostomatidae,1
collector,Leptoceridae,4
collector,Leptohyphidae,13
collector,Leptophlebiidae,9
collector,Limnephilidae,1
collector,Nemouriidae,1
collector,Odontoceridae,3
collector,Oligochaeta,2
collector,Orconectes,11
collector,Philopotamidae,1
collector,Polycentropodidae,3
collector,Polymitaryidae,2
collector,Potamanthidae,1
filterer,Corbiculidae,1
filterer,Hydropyschidae,16
filterer,Isonychiidae,2
filterer,Oligoneuriidae,2
filterer,Simulidae,14
filterer,Sphaeriidae,1
grazer,Baetidae,15
grazer,Dryopidae,2
grazer,Elmidae-adult,16
grazer,Elmidae-larvae,16
grazer,Ephemerellidae,10
grazer,Glossosomatidae,2
grazer,Heptaganeidae,16
grazer,Lymnaeidae,1
grazer,Physidae,7
predator,Aeshnidae,2
predator,Athericidae,7
predator,Belostomatidae,2
predator,Calopterygidae,2
predator,Ceratopogonidae,5
predator,Chloroperlidae,3
predator,Coenagrionidae,3
predator,Corixidae,12
predator,Dytiscidae,15
predator,Gerridae,6
predator,Gomphidae,12
predator,Gyrinidae,6
predator,Hirudinea,4
predator,Hydracarina,6
predator,Hydrophilidae,6
predator,Libellulidae,1
predator,Naucoridae,2
predator,Perlidae,13
predator,Perlodidae,4
predator,Pteronarcidae,7
predator,Rhyacophilidae,4
predator,Seiomyzidae,1
predator,Sialidae,2
predator,Veliidae,1
shredder,Tipulidae,11
