site_id,stream_name,site_group,PC1,PC2
SW01,Sweetwater,Up,0.18613251887525317,1.8882315833792358
MB01,MedBow,Up,0.22109515331708618,0.2635394351964757
LR00,Laramie,Up,0.9084965027568259,2.4957189136432376
LR01,Laramie,Up,2.1546326165395433,2.9732087863680956
MB02,MedBow,Up,2.327379021477259,1.1172752628460016
SW02,Sweetwater,Mid,3.345579401190757,2.350994705926306
LR02,Laramie,Mid,3.714243379966306,3.280298455770698
MB03,MedBow,Mid,3.9150715055195078,1.765105775266809
LR03,Laramie,Mid,3.966330440367677,2.4821949055533645
LR04,Laramie,Mid,4.299723830816852,2.5657270299086874
LR05,Laramie,Mid,4.630841295170791,3.9132932566838727
LR06,Laramie,Mid,5.2306153374078,2.232391938406876
SW03,Sweetwater,Mid,5.302275891052709,2.719362955175099
MB04,MedBow,Down,6.375512750152751,1.8104166604483574
LR07,Laramie,Down,6.550370353191806,0.9098010008575634
SW04,Sweetwater,Down,7.090113158881376,1.8204830464257762
LR08,Laramie,Down,7.781586843315706,1.1119562881435492
